x,y
20.45,14302.5
20.46,14042.5
20.47,13383.7
20.48,14406.5
20.49,13123.6
20.5,13921.1
20.51,13574.4
20.52,13574.4
20.53,13938.4
20.54,13869.1
20.55,14233.2
20.56,12984.9
20.57,13643.7
20.58,13990.5
20.59,13071.6
20.6,13643.7
20.61,13106.3
20.62,13557
20.63,12620.9
20.64,13002.3
20.65,13522.4
20.66,14233.2
20.67,13869.1
20.68,13661.1
20.69,13418.4
20.7,13886.4
20.71,13799.8
20.72,13297
20.73,14025.1
20.74,13834.4
20.75,13678.4
20.76,13019.6
20.77,13141
20.78,13574.4
20.79,13869.1
20.8,13782.4
20.81,13574.4
20.82,13591.7
20.83,13158.3
20.84,13470.4
20.85,13435.7
20.86,13591.7
20.87,13574.4
20.88,13245
20.89,13609.1
20.9,13851.8
20.91,13470.4
20.92,13002.3
20.93,12898.3
20.94,13210.3
20.95,13574.4
20.96,13765.1
20.97,12586.2
20.98,13591.7
20.99,13331.7
21,13643.7
21.01,13505
21.02,12568.9
21.03,12326.2
21.04,13071.6
21.05,14129.1
21.06,13695.7
21.07,13435.7
21.08,14025.1
21.09,12759.6
21.1,13505
21.11,13557
21.12,13037
21.13,13331.7
21.14,12586.2
21.15,12828.9
21.16,13557
21.17,13765.1
21.18,13747.7
21.19,13626.4
21.2,13799.8
21.21,13834.4
21.22,13297
21.23,13609.1
21.24,14025.1
21.25,14666.6
21.26,14510.5
21.27,14944
21.28,13505
21.29,14579.9
21.3,15672.1
21.31,15290.7
21.32,15481.4
21.33,15308
21.34,16174.8
21.35,15949.5
21.36,15620.1
21.37,16746.9
21.38,17700.4
21.39,17284.4
21.4,15741.4
21.41,14978.6
21.42,15256
21.43,15516.1
21.44,15602.7
21.45,15325.4
21.46,14198.5
21.47,14163.8
21.48,14267.8
21.49,13886.4
21.5,14025.1
21.51,13713.1
21.52,13418.4
21.53,13643.7
21.54,15152
21.55,14770.6
21.56,13990.5
21.57,14198.5
21.58,15776.1
21.59,17076.3
21.6,15862.8
21.61,15498.7
21.62,17180.3
21.63,17284.4
21.64,17596.4
21.65,18185.9
21.66,20647.6
21.67,20682.3
21.68,19850.1
21.69,20630.3
21.7,22572
21.71,22485.3
21.72,22155.9
21.73,19902.2
21.74,20803.6
21.75,20023.5
21.76,19486.1
21.77,18723.3
21.78,17007
21.79,17024.3
21.8,16053.5
21.81,14839.9
21.82,15030.6
21.83,13851.8
21.84,14874.6
21.85,13973.1
21.86,14129.1
21.87,13314.3
21.88,13557
21.89,12690.2
21.9,12516.9
21.91,13574.4
21.92,13262.3
21.93,12811.6
21.94,11875.4
21.95,13609.1
21.96,12724.9
21.97,13054.3
21.98,12880.9
21.99,12898.3
22,13123.6
22.01,12724.9
22.02,12724.9
22.03,12014.1
22.04,12447.5
22.05,12378.2
22.06,13175.6
22.07,12690.2
22.08,12412.8
22.09,13089
22.1,12846.3
22.11,12932.9
22.12,13158.3
22.13,12534.2
22.14,12395.5
22.15,11962.1
22.16,12690.2
22.17,12794.2
22.18,13158.3
22.19,13106.3
22.2,13019.6
22.21,12447.5
22.22,12603.5
22.23,13193
22.24,13609.1
22.25,13609.1
22.26,12967.6
22.27,13505
22.28,13643.7
22.29,13487.7
22.3,12724.9
22.31,12950.3
22.32,13643.7
22.33,13158.3
22.34,12534.2
22.35,13245
22.36,12724.9
22.37,13695.7
22.38,13106.3
22.39,13106.3
22.4,13921.1
22.41,13002.3
22.42,13141
22.43,13002.3
22.44,13054.3
22.45,12724.9
22.46,12291.5
22.47,13505
22.48,13886.4
22.49,13678.4
22.5,14441.2
22.51,13158.3
22.52,13019.6
22.53,12932.9
22.54,13123.6
22.55,13314.3
22.56,12967.6
22.57,12846.3
22.58,12984.9
22.59,12846.3
22.6,12551.5
22.61,13054.3
22.62,12672.9
22.63,12638.2
22.64,13175.6
22.65,12066.1
22.66,12846.3
22.67,13106.3
22.68,12395.5
22.69,12482.2
22.7,12742.2
22.71,12742.2
22.72,12534.2
22.73,13279.7
22.74,13331.7
22.75,12516.9
22.76,13002.3
22.77,12672.9
22.78,12759.6
22.79,13123.6
22.8,13626.4
22.81,13002.3
22.82,13314.3
22.83,12482.2
22.84,12395.5
22.85,13626.4
22.86,13522.4
22.87,12811.6
22.88,13401
22.89,14475.9
22.9,14389.2
22.91,14493.2
22.92,14614.6
22.93,16608.2
22.94,15932.1
22.95,16486.9
22.96,16868.3
22.97,16903
22.98,17631.1
22.99,18879.3
23,20717
23.01,21011.7
23.02,22537.3
23.03,24895
23.04,25276.4
23.05,28449
23.06,29471.8
23.07,31448.2
23.08,35504.9
23.09,39162.9
23.1,40844.5
23.11,45664
23.12,47449.6
23.13,51246.3
23.14,54817.6
23.15,59013
23.16,60590.6
23.17,59394.4
23.18,54141.5
23.19,49703.4
23.2,42924.9
23.21,40428.4
23.22,35487.6
23.23,32367
23.24,28102.3
23.25,22918.7
23.26,20318.2
23.27,18203.2
23.28,15221.3
23.29,14371.9
23.3,13401
23.31,13626.4
23.32,12898.3
23.33,13279.7
23.34,13453
23.35,12950.3
23.36,13210.3
23.37,12672.9
23.38,12568.9
23.39,11875.4
23.4,12551.5
23.41,12776.9
23.42,12031.4
23.43,12222.1
23.44,13297
23.45,12239.5
23.46,12794.2
23.47,12239.5
23.48,12048.8
23.49,12603.5
